Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,6,56,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,35714.2857142857,56.0,0.0,56,56,56,56.0,0.0,56,56,0,0.0,0.0,0,0,0,40,0,35714.2857142857,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,2,0,0,0,2052,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,SQL Injection
80,6,951,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2103.0494216614,951.0,0.0,951,951,951,951.0,0.0,951,951,0,0.0,0.0,0,0,0,40,0,2103.0494216614,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,2,0,0,0,2053,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Brute Force -XSS
443,6,322,3,0,46,0,46,0,15.33333333,26.55811238,0,0,0.0,0.0,142857.1429,9316.770186,161.0,50.91168825,197,125,322,161.0,50.91168825,197,125,0,0.0,0.0,0,0,0,60,0,9316.770186,0.0,0,46,11.5,23.0,529.0,0,0,0,0,1,0,0,0,15.33333333,15.33333333,0.0,3,46,0,0,254,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
22,6,405494,22,22,1960,2665,640,0,89.0909090909,137.9533769037,976,0,121.1363636364,258.6415602914,11405.8407769289,108.5096203643,9430.0930232558,25248.1560437626,136458,3,405433,19306.3333333333,34466.6670151515,136458,277,405486,19308.8571428571,44721.3636479096,175656,12,0,712,712,54.2548101821,54.2548101821,0,976,102.7777777778,203.7465994015,41512.6767676768,0,0,0,1,0,0,0,1,105.1136363636,89.0909090909,121.1363636364,22,1960,22,2665,26883,230,16,32,0.0,0.0,0,0,0.0,0.0,0,0,SSH-Bruteforce
80,6,103075656,2,2,16,0,8,8,8.0,0.0,0,0,0.0,0.0,0.1552257887,0.0388064472,34358552.0,59510754.2743957,103075652,2,103075654,103075654.0,0.0,103075654,103075654,103075654,103075654.0,0.0,103075654,103075654,1,64,64,0.0194032236,0.0194032236,0,8,4.8,4.38178046,19.2,0,1,0,0,1,0,0,1,6.0,8.0,0.0,2,16,2,0,211,219,1,32,2.0,0.0,2,2,103075652.0,0.0,103075652,103075652,DoS attacks-Slowloris
53,17,18543,1,1,32,48,32,32,32.0,0.0,48,48,48.0,0.0,4314.2965,107.8574125,18543.0,0.0,18543,18543,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,8,8,53.92870625,53.92870625,32,48,37.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,1,56.0,32.0,48.0,1,32,1,48,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53631,6,22,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,90909.09091,22.0,0.0,22,22,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,20,20,45454.54545,45454.54545,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,1,0.0,0.0,0.0,1,0,1,0,31088,63734,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Infilteration
80,6,103885918,2,1,464,0,464,0,232.0,328.0975464706,0,0,0.0,0.0,4.4664378862,0.0288778312,51942959.0,73458435.6733761,103885917,1,103885917,103885917.0,0.0,103885917,103885917,0,0.0,0.0,0,0,0,64,20,0.0192518874,0.0096259437,0,464,116.0,232.0,53824.0,0,0,0,0,1,0,0,0,154.6666666667,232.0,0.0,2,464,1,0,226,0,1,32,0.0,0.0,0,0,103885917.0,0.0,103885917,103885917,DoS attacks-GoldenEye
80,6,56486858,203,104,56083,189890,680,0,276.2709359606,291.6989844299,1935,0,1825.8653846154,320.3528108981,4354.5172932083,5.4348924842,184597.575163399,363172.568546422,1015096,18,56484582,279626.643564356,416456.92561469,1015096,204,56486833,548415.854368932,442591.342443046,1017708,37,0,4072,2092,3.5937562681,1.8411362161,0,1935,798.6136363636,793.9687040467,630386.303005627,0,0,1,1,0,0,1,0,801.2149837134,276.2709359606,1825.8653846154,203,56083,104,189890,8192,1281,101,20,0.0,0.0,0,0,0.0,0.0,0,0,Brute Force -XSS
59976,6,6536,1,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,458.996328,3268.0,1845.548699,4573,1963,0,0.0,0.0,0,0,4573,4573.0,0.0,4573,4573,0,32,64,152.998776,305.997552,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,2,0.0,0.0,0.0,1,0,2,0,237,225,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
